Headline
Starmer set to announce UK recognition of Palestinian state
"Israel will occupy more West Bank land, but recognition matters, mayor tells BBC"
How Russian-funded fake news network aims to disrupt election in Europe - BBC investigation
Duchess of York called Epstein 'supreme friend' in 2011 email
I took a job on a whim on New Year's Eve - and ended up stranded at sea for six months
"Israel will occupy more West Bank land, but recognition matters, mayor tells BBC"
India warns new US fee for H-1B visa will have 'humanitarian consequences'
'No sugar-coated cinema for me': Indian director who scripted history at Venice
Heightened security as Americans gather for Kirk memorial
How Russian-funded fake news network aims to disrupt election in Europe - BBC investigation
Dutch police clash with anti-immigration protesters
Vietnamese singer Duc Phuc wins Russia's Intervision song contest
White House outlines TikTok deal that would give US control of algorithm
Heathrow braces for more disruption after cyber-attack knocks out check-in system
Morrissey cancels US shows after death threat in Canada
More to explore
Creatine - can this muscle-boosting supplement help sharpen my brain?
How a man's affair with his mother-in-law became a viral film in Indonesia
Hamnet to Sinners: 12 films to look out for as Oscars race begins
Why Starmer decided the time was right to recognise a Palestinian state
Sikh granny's arrest by US immigration sparks community anger
How a man's affair with his mother-in-law became a viral film in Indonesia
Murdered Kenyan's friends want UK soldier to face justice
Hamnet to Sinners: 12 films to look out for as Oscars race begins
Most watched
Vietnamese singer Duc Phuc wins Russia's Intervision song contest
Watch: Take That megafans 'super excited' ahead of surprise BBC performance
Former porn star: 'I got death threats from IS'
Notre-Dame's iconic towers reopen six years after fire
Sexless in Japan
Also in news
The most striking looks from London Fashion Week's opening shows
RAF jets join Nato air defence mission over Poland
Man charged with murder of Pakistan TikTok star
Press could lose Pentagon access for releasing 'unauthorised information'
Ukraine says three killed in 'massive' Russian aerial attack
RAF jets join Nato air defence mission over Poland
British couple held by Taliban arrive in UK after release
Notre-Dame's iconic towers reopen six years after fire
Man charged with murder of Pakistan TikTok star
Most read
India warns new US fee for H-1B visa will have 'humanitarian consequences'
Starmer set to announce UK recognition of Palestinian state
Duchess of York called Epstein 'supreme friend' in 2011 email
I took a job on a whim on New Year's Eve - and ended up stranded at sea for six months
Heathrow braces for second day of disruption after cyber-attack
"Trump adds $100,000 fee for skilled worker visa applicants"
"Israel will occupy more West Bank land, but recognition matters, mayor tells BBC"
Heightened security as Americans gather for Kirk memorial
Creatine - can this muscle-boosting supplement help sharpen my brain?
How a man's affair with his mother-in-law became a viral film in Indonesia
Sport
World Athletics: Hodgkinson leads GB medal chase on final day
Why Arsenal and Man City are bringing back long-ball football
'He deserves to be in our history' - Fernandes inspires Man Utd
Villa v Liverpool postponed following Beard's death
Fritz stuns Alcaraz to turn tide for Team World in Laver Cup
Why Arsenal and Man City are bringing back long-ball football
'Norris misses opportunity in chaotic qualifying'
GB one-two in Tokyo 800m 'would be coolest thing'
'He deserves to be in our history' - Fernandes inspires Man Utd
